42936.74571,3070.325474,0,0,336.4699173,0,6916.221034,0,0,0,1751.401487,0,0,1682.349587,0,430.8390023,0,729.6466974,0,0,0,120.8088943
25206.58728,1268.352818,1435.787854,1588.9611,0,0,0,0,0,0,543.3125433,5922.846691,0,0,0,1179.138322,0,2852.652986,0,0,0,37.9039924
29116.82312,1066.549426,340.4094225,103.3017094,656.7076808,0,5791.908528,0,0,0,1017.198952,174.0628211,850.9684051,192.5899348,0,882.4834642,234.6119636,0,0,0,0,227.5092164
11941.48293,0,3849.577891,2050.48104,0,0,0,0,0,0,3052.578673,0,0,0,250.5797619,0,1437.800076,0,0,0,0,417.0077347
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11941.48293,0,3849.577891,2050.48104,0,0,0,0,0,0,3052.578673,0,0,0,250.5797619,0,1437.800076,0,0,0,0,417.0077347
12183.1957,2095.857899,1364.564727,904.4958775,83.54266449,0,6586.705943,0,0,0,402.0120528,2864.45232,253.2343401,33.15797308,0,625.3960961,1568.970289,4114.102357,0,0,0,60.0865065
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0
7767.400301,1137.164023,278.0942933,209.7867438,5277.729922,1739.531335,5344.62022,0,9.761567848,2.262937804,890.968292,197.62062,64.2871473,1660.071482,0,44.91649315,266.9403268,1701.526746,0,1698.764595,7.320604678,56.59141515
28508.90443,3484.962173,505.9779989,1385.076202,134.2828081,0,2847.098435,25.48607033,0,0,4964.549131,461.8852308,458.6838266,922.7376543,0,98.41899723,444.5297942,493.8382242,0,0,264.134873,1167.151104
25706.68127,2177.770379,1250.831523,1360.605296,202.0045252,0,3258.740757,53.67450279,0,0,926.7052079,1793.499507,337.3266625,391.2702953,0,145.0915528,1029.813812,1314.398168,0,0,28.52701201,118.9816352
19536.62495,1120.239441,491.6318984,1124.482727,69.65373446,25.52870859,688.7494372,0,2369.657667,208.8707384,3958.998544,251.7266948,0,371.6621824,50.4445133,86.23058243,31.85858679,122.0341277,0,1129.876693,0,0
11941.48293,0,3849.577891,2050.48104,0,0,0,0,0,0,3052.578673,0,0,0,250.5797619,0,1437.800076,0,0,0,0,417.0077347
10233.52513,1947.350873,1442.489694,1878.405645,83.54266449,0,6586.705943,0,0,0,400.6637017,1121.851722,303.1345397,242.8125651,0,366.8926947,1568.970289,3163.218028,0,0,0,47.45184237
7023.52492,2423.480215,1549.352219,667.7097811,153.8139958,233.2146658,5903.092678,0,0,0,734.0424472,1866.237635,354.7418431,202.3478303,0,457.9139206,2678.313928,2542.104302,0,277.0028209,62.48110866,103.6289414
17255.94085,950.3390971,1253.858892,1234.692367,511.1209001,0,60.82026897,1.274736949,694.0976557,751.8751658,3506.686262,1225.124075,117.4658027,115.9933608,1.957330202,548.155968,176.3278633,2.043268002,0,487.3715437,0.973497975,398.589912
16639.54485,0,426.7688473,0,0,0,0,0,0,0,8071.909033,0,0,0,0,0,0,0,0,0,0,649.3915193
37241.99265,925.7296103,1071.022196,1133.486155,273.0626245,0,7.406821112,7.648421692,0,0,1306.535598,11.855545,1163.437985,852.7154341,0,143.4545828,1102.469517,11.44097996,0,0,3.301241517,564.5512406
5216.861617,151.9808548,1576.935816,739.0531173,59.94005994,7.945516459,3956.127906,0,0,194.9649648,1549.413139,7418.075491,0,0.015708012,0,67.89142803,1346.848159,0,0,88.24052076,0,0
